group,replicate,fastq_1,fastq_2,control
DHT_10mins_AR,1,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep1_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep1_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_10mins_AR,2,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep2_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep2_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_10mins_AR,3,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep3_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_10mins_AR_Rep3_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_20mins_AR,1,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep1_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep1_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_20mins_AR,2,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep2_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep2_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_20mins_AR,3,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep3_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_20mins_AR_Rep3_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_30mins_AR,1,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep1_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep1_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_30mins_AR,2,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep2_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep2_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_30mins_AR,3,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep3_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_30mins_AR_Rep3_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_5min_AR,1,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep1_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep1_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_5min_AR,2,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep2_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep2_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
DHT_5min_AR,3,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep3_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/DHT_5min_AR_Rep3_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
EtOH_AR,1,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/EtOH_AR_Rep1_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/EtOH_AR_Rep1_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
EtOH_AR,2,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/EtOH_AR_Rep2_CutRun_R1_20M.SubSam.fastq.gz,/scratch/tr07/ec2963/CutRun_Level_2_hg38_LNCaP_EarlyDHT/SubSam/EtOH_AR_Rep2_CutRun_R2_20M.SubSam.fastq.gz,CONTROL_GROUP
